# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.590188574729073601e+00 9.847374282101964127e+01 6.904888125658477982e+00 -2.226355221114878873e+02 6.904888125659229381e+00 -1.584294573333859830e+02 -2.281595964556968852e+02 -2.226355221114890526e+02 -2.281595964556963452e+02 5.953319798250438311e+01
-4.537384825845449221e+00 9.873153517206505114e+01 3.471537338755979363e+00 -2.242711451418601314e+02 3.471537338756675695e+00 -1.611098988804282044e+02 -2.213625844450505440e+02 -2.242711451418612967e+02 -2.213625844450500324e+02 6.613584465883575092e+01
-4.484581076961824841e+00 9.842000551134132991e+01 -2.395159906533628202e+00 -2.271005789242444166e+02 -2.395159906533031346e+00 -1.660975828605402285e+02 -2.086679702162265926e+02 -2.271005789242455535e+02 -2.086679702162261947e+02 7.849035668453876724e+01
-4.431777328078200462e+00 9.610713113546206898e+01 -8.912354803025792194e+00 -2.303102475966184386e+02 -8.912354803025330341e+00 -1.727502001400454219e+02 -1.917062274600671117e+02 -2.303102475966194049e+02 -1.917062274600668843e+02 9.503754219968328698e+01
-4.378973579194576082e+00 9.027346739765093275e+01 -1.395919863906294012e+01 -2.328178965131362474e+02 -1.395919863906262748e+01 -1.798763105757954293e+02 -1.725424263721041598e+02 -2.328178965131370717e+02 -1.725424263721041882e+02 1.137830036557415667e+02
-4.326169830310951703e+00 7.963686579845283120e+01 -1.561520564837287850e+01 -2.334257623202851448e+02 -1.561520564837267955e+01 -1.861684142059818043e+02 -1.533069885122592950e+02 -2.334257623202858269e+02 -1.533069885122594940e+02 1.326296318857848462e+02
-4.273366081427326435e+00 6.372734308807569903e+01 -1.259733279486450996e+01 -2.309935295375865678e+02 -1.259733279486438917e+01 -1.902611180808036124e+02 -1.358368115211039253e+02 -2.309935295375870794e+02 -1.358368115211043516e+02 1.497089236920029975e+02
-4.220562332543701167e+00 4.307692563666859087e+01 -4.501434546987415075e+00 -2.246358853881081643e+02 -4.501434546987372443e+00 -1.911387675436403981e+02 -1.214024075623196524e+02 -2.246358853881084485e+02 -1.214024075623202492e+02 1.636588512734544452e+02
-4.167758583660076788e+00 1.922294586352396806e+01 8.177577742490848678e+00 -2.139171525943336292e+02 8.177577742490871771e+00 -1.883487742359252479e+02 -1.105831199443831139e+02 -2.139171525943337713e+02 -1.105831199443838528e+02 1.737878020668075294e+02
-4.114954834776452408e+00 -5.511749310068988272e+00 2.426107190390715473e+01 -1.990041307259600387e+02 2.426107190390716895e+01 -1.817747066107985461e+02 -1.032906259973425875e+02 -1.990041307259600103e+02 -1.032906259973434544e+02 1.801165353950253802e+02
-4.062151085892827140e+00 -2.860540228362463822e+01 4.229180830118680490e+01 -1.807578791477100140e+02 4.229180830118684042e+01 -1.714956383193414524e+02 -9.894047735830082502e+01 -1.807578791477098434e+02 -9.894047735830173451e+01 1.832821788410453507e+02
-4.009347337009202761e+00 -4.777821036565974566e+01 6.085286928883380142e+01 -1.607016117538679509e+02 6.085286928883381563e+01 -1.575118677601300874e+02 -9.669356935621505045e+01 -1.607016117538676099e+02 -9.669356935621598836e+01 1.843340429632997370e+02
-3.956543588125578381e+00 -6.161973571421707163e+01 7.883734588678633770e+01 -1.408294641988065337e+02 7.883734588678635191e+01 -1.395653809120862832e+02 -9.572225423479602568e+01 -1.408294641988061358e+02 -9.572225423479694939e+01 1.844526046832614838e+02
-3.903739839241953113e+00 -6.962217112522075979e+01 9.545170233656335768e+01 -1.232964799489546976e+02 9.545170233656334347e+01 -1.175304205257225476e+02 -9.541394445029526139e+01 -1.232964799489542003e+02 -9.541394445029612825e+01 1.846530807801223375e+02
-3.850936090358328734e+00 -7.228599851790006880e+01 1.101932365711164863e+02 -1.100299421918099085e+02 1.101932365711164010e+02 -9.157290915721384295e+01 -9.549539528797041044e+01 -1.100299421918094112e+02 -9.549539528797120624e+01 1.855388731706981957e+02
-3.798132341474704354e+00 -7.091303887477884871e+01 1.226645387674868601e+02 -1.023645361264698295e+02 1.226645387674867038e+02 -6.271383613169335547e+01 -9.603704312034621182e+01 -1.023645361264692895e+02 -9.603704312034687973e+01 1.871794346589672386e+02
-3.722664296295539632e+00 -6.708596192745525855e+01 1.323901624795091152e+02 -1.007953662641232313e+02 1.323901624795088878e+02 -3.280281181804509316e+01 -9.736317810416123564e+01 -1.007953662641226913e+02 -9.736317810416177565e+01 1.891285681793827393e+02
-3.669860547411914808e+00 -6.239066613690271623e+01 1.388582103120844522e+02 -1.049095848835996065e+02 1.388582103120841680e+02 -4.460684964945578201e+00 -9.989961897286869430e+01 -1.049095848835990523e+02 -9.989961897286907799e+01 1.906065732033721360e+02
-3.617056798528290429e+00 -5.796587950462313188e+01 1.415121737654469030e+02 -1.135158313668527228e+02 1.415121737654465051e+02 1.936240486290115115e+01 -1.040029628470159082e+02 -1.135158313668521686e+02 -1.040029628470161924e+02 1.907834746141708990e+02
-3.564253049644665605e+00 -5.434115652237207428e+01 1.399486361947035675e+02 -1.249177782007924833e+02 1.399486361947030844e+02 3.600891278362949066e+01 -1.097972523608570867e+02 -1.249177782007919575e+02 -1.097972523608572715e+02 1.890699074879946693e+02
