# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.822734930438378420e+00 -1.110193431981219874e+02 -9.181040266159683938e+00 9.646026133540627256e+01 -9.181040266160309216e+00 6.221672656317169725e+01 1.920296108863326197e+02 9.646026133540644310e+01 1.920296108863323070e+02 2.338131253793610256e+02
-4.767392495825142795e+00 -9.583692360845540748e+01 -1.735892796743961242e+00 9.606147284341662385e+01 -1.735892796744614941e+00 5.866360493153693767e+01 1.907334667319853452e+02 9.606147284341680859e+01 1.907334667319850610e+02 2.369551822598880619e+02
-4.712050061211907170e+00 -6.761585946942074088e+01 1.184386791238553904e+01 9.529712599851541199e+01 1.184386791238488001e+01 5.201252726541464000e+01 1.881429491615434131e+02 9.529712599851559673e+01 1.881429491615431573e+02 2.425314094291757101e+02
-4.656707626598669769e+00 -3.025015601205082305e+01 2.909342312027618505e+01 9.426908511422155357e+01 2.909342312027554556e+01 4.305161074900682650e+01 1.843174673174749501e+02 9.426908511422175252e+01 1.843174673174746658e+02 2.492697266962693163e+02
-4.601365191985434144e+00 1.132211044262552946e+01 4.656789179538533574e+01 9.322120837673534766e+01 4.656789179538475310e+01 3.271625233948795142e+01 1.794234562005579221e+02 9.322120837673553240e+01 1.794234562005576379e+02 2.555888040054377939e+02
-4.546022757372198519e+00 5.171955541724004490e+01 6.050743030192263916e+01 9.255386204307295372e+01 6.050743030192214889e+01 2.180915810862323312e+01 1.737725433527737664e+02 9.255386204307312425e+01 1.737725433527735106e+02 2.598861119055314930e+02
-4.490680322758961118e+00 8.600144614951165067e+01 6.745676826766685963e+01 9.279318031509478715e+01 6.745676826766637646e+01 1.068765107346845156e+01 1.678067086359934024e+02 9.279318031509494347e+01 1.678067086359932034e+02 2.608031528230038134e+02
-4.435337888145725493e+00 1.100827062870280599e+02 6.520335040229949186e+01 9.443113373157534340e+01 6.520335040229912238e+01 -8.551973925548281841e-01 1.620232877258239910e+02 9.443113373157548551e+01 1.620232877258238204e+02 2.574374604390756076e+02
-4.379995453532489869e+00 1.212739043913994692e+02 5.329725614386498478e+01 9.770567724325917425e+01 5.329725614386467214e+01 -1.351126338989165276e+01 1.568754037360420170e+02 9.770567724325931636e+01 1.568754037360419034e+02 2.495176174165834766e+02
-4.324653018919252467e+00 1.185674367175343917e+02 3.328314444421280882e+01 1.023532263855994842e+02 3.328314444421256724e+01 -2.811062151409234033e+01 1.526678370103387863e+02 1.023532263855996121e+02 1.526678370103387579e+02 2.375072728864515739e+02
-4.269310584306016843e+00 1.029418831993463357e+02 8.310649822597525826e+00 1.074553331670043974e+02 8.310649822597319769e+00 -4.489728750327450513e+01 1.494756312172811477e+02 1.074553331670044543e+02 1.494756312172811477e+02 2.226301683774590288e+02
-4.213968149692780329e+00 7.717378800340468104e+01 -1.764827410666560326e+01 1.114880628786680887e+02 -1.764827410666576313e+01 -6.314282602579058334e+01 1.471140164713410741e+02 1.114880628786681314e+02 1.471140164713411025e+02 2.067700281141594019e+02
-4.158625715079544705e+00 4.567844309950314141e+01 -4.066373548980098462e+01 1.126033533669310316e+02 -4.066373548980112673e+01 -8.077816090279370087e+01 1.451487358226812034e+02 1.126033533669309890e+02 1.451487358226812603e+02 1.921845480944284361e+02
-4.103283280466308192e+00 1.347973366070166890e+01 -5.772132677159463299e+01 1.091181089604015142e+02 -5.772132677159468983e+01 -9.466873533534408125e+01 1.429681055066653244e+02 1.091181089604013863e+02 1.429681055066654096e+02 1.810716682985490706e+02
-4.047940845853071679e+00 -1.448162104077384171e+01 -6.705554330804545771e+01 1.000298068415252146e+02 -6.705554330804542928e+01 -1.013666690907695056e+02 1.399121938763500452e+02 1.000298068415250015e+02 1.399121938763501589e+02 1.750547210766751789e+02
