# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.566593549089781767e+00 7.353914075577336007e+01 -6.016681401815031904e+01 -2.557435279201939977e+02 -6.016681401814894770e+01 -6.185299952258963430e+01 6.247648234519522958e+01 -2.557435279201943104e+02 6.247648234519382981e+01 2.447652419659335621e+01
-4.513602564800744510e+00 7.673731317453486156e+01 -5.924144299971938210e+01 -2.515702502330092329e+02 -5.924144299971803207e+01 -4.915687353749872557e+01 6.368846872550417970e+01 -2.515702502330095740e+02 6.368846872550280125e+01 1.737150534394344348e+01
-4.460611580511707253e+00 8.300739154437505363e+01 -5.722640421888179674e+01 -2.434737783502729087e+02 -5.722640421888046802e+01 -2.601904214579388963e+01 6.560735164005353681e+01 -2.434737783502732213e+02 6.560735164005217257e+01 4.066236307568100727e+00
-4.407620596222669995e+00 9.201630128514946705e+01 -5.381425920238094562e+01 -2.319530357893507642e+02 -5.381425920237969507e+01 3.637067001583640380e+00 6.731925466121668933e+01 -2.319530357893510768e+02 6.731925466121539614e+01 -1.374641718396725665e+01
-4.354629611933632738e+00 1.030386283511106456e+02 -4.840378848877546147e+01 -2.177788127909619504e+02 -4.840378848877426776e+01 3.510256616152171460e+01 6.768973407784615404e+01 -2.177788127909622062e+02 6.768973407784494611e+01 -3.380270889503524501e+01
-4.301638627644595481e+00 1.150252855606374851e+02 -4.026808081412548290e+01 -2.019824432542099828e+02 -4.026808081412440288e+01 6.412856405208037813e+01 6.562858612589072038e+01 -2.019824432542102102e+02 6.562858612588964036e+01 -5.356387278266912233e+01
-4.248647643355559111e+00 1.267751442754694438e+02 -2.836316746068342809e+01 -1.858067076651894354e+02 -2.836316746068249728e+01 8.773543423091999216e+01 6.038604136517601262e+01 -1.858067076651896059e+02 6.038604136517510312e+01 -7.054253887568179948e+01
-4.195656659066521854e+00 1.372573633774308064e+02 -1.167646148439125398e+01 -1.705871212716373861e+02 -1.167646148439048659e+01 1.049365767595363934e+02 5.181454861216359120e+01 -1.705871212716375283e+02 5.181454861216288776e+01 -8.261545079042514317e+01
-4.142665674777485485e+00 1.458368954870811933e+02 1.051233638456131914e+01 -1.575546347338079727e+02 1.051233638456189112e+01 1.166315755869593431e+02 4.050298943117272898e+01 -1.575546347338080579e+02 4.050298943117224582e+01 -8.828906719732171382e+01
-4.089674690488448228e+00 1.524481236379585880e+02 3.814453233197188808e+01 -1.475693240644860111e+02 3.814453233197227178e+01 1.251519798220446091e+02 2.770540927562717926e+01 -1.475693240644860964e+02 2.770540927562694122e+01 -8.685159402177299626e+01
