# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.822578728610070975e+00 2.398130524168537079e+02 -1.582971736130900808e+01 1.089957527879664667e+02 -1.582971736130867946e+01 2.525545819290312295e+02 5.560271609170197848e+01 1.089957527879661541e+02 5.560271609170139584e+01 1.943693511997732628e+02
-4.767237308294421716e+00 2.363339156048636482e+02 -1.244746578716090823e+01 1.080147041077637766e+02 -1.244746578716059560e+01 2.489658781688986551e+02 5.545792308780774960e+01 1.080147041077634356e+02 5.545792308780717406e+01 1.893967782289253421e+02
-4.711895887978772457e+00 2.293924799067779361e+02 -6.710904235474870916e+00 1.062786851800676970e+02 -6.710904235474586699e+00 2.418457513339613456e+02 5.453003426624643168e+01 1.062786851800673844e+02 5.453003426624589878e+01 1.797399708725984624e+02
-4.656554467663121422e+00 2.193143625520501985e+02 -5.350619798422258100e-01 1.041235105645066454e+02 -5.350619798420126472e-01 2.314265060412681407e+02 5.180088960825376887e+01 1.041235105645063328e+02 5.180088960825326438e+01 1.659926509446409284e+02
-4.601213047347472163e+00 2.065174610300422842e+02 3.704381482247868007e+00 1.018267174553960075e+02 3.704381482248010116e+00 2.184116266715167853e+02 4.626284022019885356e+01 1.018267174553957233e+02 4.626284022019841302e+01 1.490736344144551992e+02
-4.545871627031822904e+00 1.918102864068271174e+02 3.530252717154056086e+00 9.945549776863472857e+01 3.530252717154056086e+00 2.038557566270813766e+02 3.730444525042761938e+01 9.945549776863447278e+01 3.730444525042724990e+01 1.301892060778135942e+02
-4.490530206716171868e+00 1.761652124651563724e+02 -3.011580127110205396e+00 9.680550262738141498e+01 -3.011580127110352834e+00 1.889230640591364363e+02 2.493764598871913662e+01 9.680550262738123024e+01 2.493764598871884175e+01 1.107098162453994092e+02
-4.435188786400522609e+00 1.605201232106052203e+02 -1.685553934569742296e+01 9.344801644399966278e+01 -1.685553934569768586e+01 1.744194557687948191e+02 9.791447990143272051e+00 9.344801644399956331e+01 9.791447990143065994e+00 9.197736912854063007e+01
-4.379847366084873350e+00 1.455753949863665753e+02 -3.750230596821021578e+01 8.887802207797460596e+01 -3.750230596821063500e+01 1.603326171365951041e+02 -7.104293452626629701e+00 8.887802207797459175e+01 -7.104293452626737171e+00 7.505901169071823631e+01
-4.324505945769222315e+00 1.312666754511744500e+02 -6.285154773007529627e+01 8.270390691774807124e+01 -6.285154773007580076e+01 1.458324227307548426e+02 -2.463447153378571741e+01 8.270390691774811387e+01 -2.463447153378571386e+01 6.054416361458154228e+01
