# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-3.687066267772880046e+00 7.569328327971049930e+01 6.179198866801789336e+01 1.226400160296673292e+01 6.179198866801797152e+01 1.281016004517744307e+02 -3.580220250340012456e+01 1.226400160296686792e+01 -3.580220250340003219e+01 1.136763181875839166e+02
-3.641323979068359584e+00 7.772848851599798081e+01 6.182110426101395007e+01 1.249897007887182987e+01 6.182110426101403533e+01 1.302443222369049920e+02 -3.621747584509505913e+01 1.249897007887196132e+01 -3.621747584509496676e+01 1.141415665121818677e+02
-3.595581690363839567e+00 8.179102766579111972e+01 6.152711749718754675e+01 1.294090550899735526e+01 6.152711749718763201e+01 1.340012172542326709e+02 -3.686656529765760837e+01 1.294090550899747250e+01 -3.686656529765753021e+01 1.151117190826512768e+02
-3.549839401659319549e+00 8.783484892385254739e+01 6.033399878379228198e+01 1.355088711995967188e+01 6.033399878379237435e+01 1.384581482093378213e+02 -3.742413529627339130e+01 1.355088711995977491e+01 -3.742413529627332736e+01 1.166374585792637930e+02
-3.504097112954799531e+00 9.567690298027559948e+01 5.764658855989925712e+01 1.430181431560935756e+01 5.764658855989935660e+01 1.425964534895021814e+02 -3.749416310065551272e+01 1.430181431560944816e+01 -3.749416310065547009e+01 1.187395223326333991e+02
-3.458354824250279513e+00 1.050002065787243453e+02 5.308093635924306142e+01 1.518733960614969902e+01 5.308093635924316800e+01 1.455255003483297287e+02 -3.669684953277950967e+01 1.518733960614978074e+01 -3.669684953277948125e+01 1.213751047829316008e+02
-3.407800508486744206e+00 1.152769074502229643e+02 4.658125594205800724e+01 1.621242369341737799e+01 4.658125594205812092e+01 1.466796691926065250e+02 -3.475724476964651188e+01 1.621242369341744194e+01 -3.475724476964649057e+01 1.244349579346693275e+02
-3.362058219782223745e+00 1.258193163121894003e+02 3.847446034050456376e+01 1.736522519476142179e+01 3.847446034050466324e+01 1.458142935455356337e+02 -3.156369360396099921e+01 1.736522519476148219e+01 -3.156369360396099921e+01 1.277678342868347841e+02
-3.316315931077704171e+00 1.357958413380784748e+02 2.936170107965227416e+01 1.858872125858874469e+01 2.936170107965237008e+01 1.429822881647917256e+02 -2.719189647353410422e+01 1.858872125858879798e+01 -2.719189647353410777e+01 1.312224782647990651e+02
-3.270573642373183709e+00 1.442972759525329423e+02 1.999923112376400880e+01 1.976853810115808940e+01 1.999923112376411183e+01 1.383742277706591324e+02 -2.188628238260646697e+01 1.976853810115813914e+01 -2.188628238260648118e+01 1.346884488325794678e+02
-3.224831353668664136e+00 1.504246353578549531e+02 1.110179606868099178e+01 2.075068040997526353e+01 1.110179606868107882e+01 1.321913707742830582e+02 -1.600812738968114601e+01 2.075068040997530261e+01 -1.600812738968117444e+01 1.381080892048975954e+02
-3.179089064964143674e+00 1.533330059775262555e+02 3.231558056657010791e+00 2.138220738478767302e+01 3.231558056657080513e+00 1.246141286341371739e+02 -9.962337113682602663e+00 2.138220738478770855e+01 -9.962337113682636414e+00 1.414585003972287041e+02
