# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-3.870526098749440536e+00 -1.972395141500051068e+02 -2.240046240909646258e+02 -1.455218737880732931e+02 -2.240046240909643984e+02 2.068938194115771694e+02 9.845070288107980616e+01 -1.455218737880737763e+02 9.845070288108027512e+01 3.198140034507715654e+02
-3.820390164320635940e+00 -1.681938525734631185e+02 -2.201975045459236071e+02 -1.406625511654306138e+02 -2.201975045459234650e+02 1.966871299617928912e+02 9.674906444177318576e+01 -1.406625511654310685e+02 9.674906444177358367e+01 3.218451543235970007e+02
-3.770254229891832232e+00 -1.134851463440937493e+02 -2.132890424512345078e+02 -1.317720228826757705e+02 -2.132890424512343657e+02 1.772898661409628289e+02 9.301261957695535898e+01 -1.317720228826761684e+02 9.301261957695570004e+01 3.252971005673608715e+02
-3.720118295463027636e+00 -3.940474344198285905e+01 -2.045272393831032218e+02 -1.202699525507198075e+02 -2.045272393831031081e+02 1.509148412501616860e+02 8.675559219417039003e+01 -1.202699525507201628e+02 8.675559219417061740e+01 3.291253397359158726e+02
-3.684991180517111609e+00 4.563681471786486554e+01 -1.955123325047333651e+02 -1.077572859310385951e+02 -1.955123325047332798e+02 1.207341054915012108e+02 7.764109579960665997e+01 -1.077572859310388793e+02 7.764109579960671681e+01 3.321396533146827892e+02
-3.634855246088307901e+00 1.322982562532902193e+02 -1.877750609133968851e+02 -9.563116472737431195e+01 -1.877750609133968567e+02 9.055467880417714355e+01 6.570427494817096203e+01 -9.563116472737453932e+01 6.570427494817083414e+01 3.332967987473276139e+02
-3.584719311659503305e+00 2.115859613368139946e+02 -1.825541779968180549e+02 -8.479883795085790155e+01 -1.825541779968179981e+02 6.379211396762252662e+01 5.145429295323180696e+01 -8.479883795085808629e+01 5.145429295323150853e+01 3.319336852402250315e+02
-3.534583377230699153e+00 2.761631543624776555e+02 -1.801299243010017506e+02 -7.559506821747622496e+01 -1.801299243010017221e+02 4.244651920521766186e+01 3.581192718412962250e+01 -7.559506821747635286e+01 3.581192718412916776e+01 3.279281898047282198e+02
-3.484447442801895001e+00 3.212892558923348361e+02 -1.798897700661752594e+02 -6.791333100774382103e+01 -1.798897700661751742e+02 2.635740320464201858e+01 1.994941671720965104e+01 -6.791333100774392051e+01 1.994941671720909326e+01 3.217451282354509772e+02
-3.434311508373090405e+00 3.454538617035917696e+02 -1.802082824997964394e+02 -6.143463340283732066e+01 -1.802082824997962689e+02 1.308518231832347212e+01 5.114248730937817733e+00 -6.143463340283739171e+01 5.114248730937211107e+00 3.143733234338272950e+02
