# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.203111809625403872e+00 -1.548240134480569168e+02 1.954279299594886652e+02 -6.813638504470716839e+01 1.954279299594891768e+02 2.729250034822412658e+02 -1.515537066488295750e+02 -6.813638504470631574e+01 -1.515537066488299729e+02 4.916489557884983697e+01
-4.150773320819937773e+00 -1.611165424764959937e+02 1.981450497885626305e+02 -6.136056118016439598e+01 1.981450497885630568e+02 2.557279341459694990e+02 -1.519667006545374761e+02 -6.136056118016355754e+01 -1.519667006545378456e+02 4.566028903299663000e+01
-4.098434832014471674e+00 -1.724104570194372741e+02 2.018255847597613979e+02 -4.823151012084105105e+01 2.018255847597617958e+02 2.215982362284895260e+02 -1.511571498868680123e+02 -4.823151012084024813e+01 -1.511571498868682966e+02 3.901565009069469170e+01
-4.046096343209004687e+00 -1.867660429142142107e+02 2.034735178239021707e+02 -2.964449327796113920e+01 2.034735178239024549e+02 1.711060763183611755e+02 -1.464292851041518020e+02 -2.964449327796040379e+01 -1.464292851041520009e+02 2.988065858538906383e+01
-3.993757854403538587e+00 -2.024420322513428800e+02 1.997830715041012013e+02 -7.001639983930068922e+00 1.997830715041014287e+02 1.055692015894083227e+02 -1.349697257195010138e+02 -7.001639983929432987e+00 -1.349697257195011275e+02 1.906845824942553946e+01
-3.941419365598072488e+00 -2.184853638886101237e+02 1.880099863069409309e+02 1.786058542753300316e+01 1.880099863069409878e+02 2.744756917090415982e+01 -1.148467791435809318e+02 1.786058542753351475e+01 -1.148467791435809033e+02 7.417643954950883689e+00
-3.889080876792606389e+00 -2.348740853987130777e+02 1.668296099453220336e+02 4.289013433364506511e+01 1.668296099453219767e+02 -5.886000894091342417e+01 -8.579866569761139772e+01 4.289013433364543459e+01 -8.579866569761128403e+01 -4.292884181921337472e+00
-3.836742387987140290e+00 -2.520261795353087848e+02 1.367774003072385653e+02 6.617640401937575234e+01 1.367774003072384232e+02 -1.468113872183235458e+02 -4.954468679745939852e+01 6.617640401937597971e+01 -4.954468679745918536e+01 -1.540432894596924029e+01
-3.784403899181674191e+00 -2.696677699192520095e+02 1.000487440505173140e+02 8.633767083179438373e+01 1.000487440505170866e+02 -2.280991967789020691e+02 -9.550863137427670679e+00 8.633767083179451163e+01 -9.550863137427398897e+00 -2.537928308074613426e+01
-3.732065410376207204e+00 -2.864335817075530599e+02 6.017256888149337613e+01 1.027817374525098302e+02 6.017256888149316296e+01 -2.937865041659912890e+02 2.966784839100309412e+01 1.027817374525098728e+02 2.966784839100338189e+01 -3.382106455206803020e+01
-3.689863460785370641e+00 -2.994889211763089634e+02 2.113095705016534964e+01 1.157643349866609981e+02 2.113095705016513648e+01 -3.364348530589930419e+02 6.348853232463166307e+01 1.157643349866610549e+02 6.348853232463194018e+01 -4.047142417276576509e+01
-3.637524971979904542e+00 -3.053080765729593509e+02 -1.335705935341838568e+01 1.261901897564619333e+02 -1.335705935341853134e+01 -3.518929664299865863e+02 8.810303916024834336e+01 1.261901897564620469e+02 8.810303916024852811e+01 -4.520787658507288143e+01
-3.585186483174438443e+00 -3.006683649399785736e+02 -4.031286787687470508e+01 1.352371931960292670e+02 -4.031286787687469797e+01 -3.406135254259931457e+02 1.011963318100126230e+02 1.352371931960294660e+02 1.011963318100126799e+02 -4.803188169427855314e+01
-3.532847994368972344e+00 -2.836349250056332494e+02 -5.792362267564387679e+01 1.439070134139551556e+02 -5.792362267564372047e+01 -3.077097144356205263e+02 1.022528208846269706e+02 1.439070134139554398e+02 1.022528208846268853e+02 -4.905617770402819389e+01
-3.480509505563506245e+00 -2.543841843110704986e+02 -6.545154508980944286e+01 1.526725249384873848e+02 -6.545154508980911601e+01 -2.619025746153204750e+02 9.244464304813583055e+01 1.526725249384878111e+02 9.244464304813551792e+01 -4.844728901044574343e+01
-3.428171016758039258e+00 -2.150595264649400065e+02 -6.323463774116450509e+01 1.613254122988483630e+02 -6.323463774116396507e+01 -2.133090292417793705e+02 7.420587615580873830e+01 1.613254122988488746e+02 7.420587615580822671e+01 -4.636221962977700173e+01
-3.375832527952573159e+00 -1.691063389853783860e+02 -5.248525417599643106e+01 1.690444913333594457e+02 -5.248525417599573473e+01 -1.711739081509180380e+02 5.063264282599440236e+01 1.690444913333600141e+02 5.063264282599367760e+01 -4.292995670082456172e+01
-3.323494039147107060e+00 -1.204008177714089385e+02 -3.506704884831637514e+01 1.747084778861427878e+02 -3.506704884831552249e+01 -1.417585054544971968e+02 2.489935741109070833e+01 1.747084778861433279e+02 2.489935741108978107e+01 -3.823544622970643303e+01
-3.271155550341640961e+00 -7.241299670889640083e+01 -1.328416036569534242e+01 1.773164589530017849e+02 -1.328416036569439385e+01 -1.272823031666998617e+02 -1.804155030257161840e-01 1.773164589530023250e+02 -1.804155030267864390e-01 -3.234069000880447220e+01
-3.218817061536174862e+00 -2.748244461472918942e+01 1.054959223925683176e+01 1.763952144334602110e+02 1.054959223925787626e+01 -1.255954360126098948e+02 -2.241770874620744891e+01 1.763952144334606942e+02 -2.241770874620862131e+01 -2.533396916382623232e+01
-3.166478572730708319e+00 1.276145481713814434e+01 3.434935563437812789e+01 1.722741836418353216e+02 3.434935563437920791e+01 -1.311679948022082556e+02 -4.034244924668254129e+01 1.722741836418357479e+02 -4.034244924668375631e+01 -1.739250410935571978e+01
-3.114140083925241775e+00 4.767728659404597380e+01 5.664640143443406828e+01 1.661108359339187075e+02 5.664640143443516251e+01 -1.364886051020373259e+02 -5.319230813758566256e+01 1.661108359339190201e+02 -5.319230813758686338e+01 -8.838576906525943855e+00
-3.061801595119775676e+00 7.673721841872682603e+01 7.663161862501752353e+01 1.596293220961249517e+02 7.663161862501866040e+01 -1.340790411838151215e+02 -6.085277686414416820e+01 1.596293220961251222e+02 -6.085277686414526954e+01 -2.035224264785906456e-01
-3.009463106314309577e+00 9.926654967317631417e+01 9.412456955224287469e+01 1.546562931874069307e+02 9.412456955224403998e+01 -1.183000228208797893e+02 -6.379857792194212607e+01 1.546562931874070159e+02 -6.379857792194309951e+01 7.766503490088584982e+00
-2.957124617508843478e+00 1.140186970381828360e+02 1.091565581205271656e+02 1.526030373049647153e+02 1.091565581205284019e+02 -8.657793700693980554e+01 -6.300639293376056571e+01 1.526030373049646585e+02 -6.300639293376133310e+01 1.414160102341483594e+01
-2.904786128703377379e+00 1.193727727206919553e+02 1.217063672611340337e+02 1.540738624303433539e+02 1.217063672611353127e+02 -4.020021988543456359e+01 -5.983311592067853013e+01 1.540738624303432118e+02 -5.983311592067909146e+01 1.788412020844144479e+01
-2.852447639897910392e+00 1.131275064550914635e+02 1.314963269541256921e+02 1.587069301977228406e+02 1.314963269541269995e+02 1.628050583152429454e+01 -5.581824246646185372e+01 1.587069301977226701e+02 -5.581824246646218057e+01 1.800053852840981250e+01
-2.800109151092444293e+00 9.355454470493211261e+01 1.378721278614901848e+02 1.652762332906627307e+02 1.378721278614915491e+02 7.578874139633549589e+01 -5.245439533687812883e+01 1.652762332906625318e+02 -5.245439533687822831e+01 1.378640329991234026e+01
-2.747770662286978194e+00 5.965657708191712771e+01 1.402298062491790631e+02 1.719566024450116970e+02 1.402298062491804842e+02 1.305815690181988202e+02 -5.090620924237744305e+01 1.719566024450115265e+02 -5.090620924237733647e+01 5.079636969929723911e+00
-2.695432173481512095e+00 1.214392146177166687e+01 1.382729592140486830e+02 1.766819483055332114e+02 1.382729592140500756e+02 1.739539637960734808e+02 -5.179332769535795933e+01 1.766819483055330977e+02 -5.179332769535769643e+01 -7.524688985600363367e+00
-2.643093684676045996e+00 -4.627783973355353453e+01 1.323221835616966189e+02 1.774978539908043444e+02 1.323221835616979263e+02 2.014298907512626045e+02 -5.504232107918369366e+01 1.774978539908043160e+02 -5.504232107918328865e+01 -2.251804598352483566e+01
-2.590755195870579897e+00 -1.108507180219541084e+02 1.233093323507149677e+02 1.727895476590171313e+02 1.233093323507162040e+02 2.119128959669822621e+02 -5.985781431693804677e+01 1.727895476590171597e+02 -5.985781431693757071e+01 -3.756975076050965612e+01
-2.538416707065112909e+00 -1.752031424999235014e+02 1.125037733130292423e+02 1.615311311266723351e+02 1.125037733130303366e+02 2.072545217757966043e+02 -6.481118466984798943e+01 1.615311311266724204e+02 -6.481118466984746362e+01 -4.983635682416709045e+01
-2.486078218259646810e+00 -2.323372558833619337e+02 1.012145211335104165e+02 1.435174262415088435e+02 1.012145211335114539e+02 1.917850671092474215e+02 -6.812142838955236357e+01 1.435174262415090141e+02 -6.812142838955180935e+01 -5.645041239499553853e+01
-2.433739729454180711e+00 -2.756516424662733016e+02 9.034828319496622839e+01 1.195707522172615427e+02 9.034828319496716631e+01 1.709301254804778409e+02 -6.802177895521363382e+01 1.195707522172618269e+02 -6.802177895521307960e+01 -5.508865652858332851e+01
