# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-3.876276690312814743e+00 -2.303425098306136078e+02 6.613946089392155159e+01 -1.634069831167551570e+02 6.613946089392277372e+01 -2.773124547470205812e+02 6.723221948288836813e+01 -1.634069831167560096e+02 6.723221948288774286e+01 1.226002213969948862e+01
-3.826102672496173973e+00 -2.262868912050754204e+02 6.381635778782979429e+01 -1.622938905974599493e+02 6.381635778783098800e+01 -2.769577676066671188e+02 7.035652520693226109e+01 -1.622938905974607735e+02 7.035652520693159317e+01 1.431770399293222340e+01
-3.775928654679532315e+00 -2.179362466676984127e+02 6.165556029485993150e+01 -1.603297281767519848e+02 6.165556029486102574e+01 -2.739919346465436547e+02 7.660270950870427953e+01 -1.603297281767527807e+02 7.660270950870359741e+01 1.881804369210402683e+01
-3.725754636862891545e+00 -2.047661156959035793e+02 6.363604019314279725e+01 -1.579744242591769705e+02 6.363604019314375648e+01 -2.645878516969851262e+02 8.588150565920683732e+01 -1.579744242591777379e+02 8.588150565920611257e+01 2.638286114198762178e+01
-3.687790309523125032e+00 -1.863428801317860177e+02 7.365730791020692436e+01 -1.557489259587276536e+02 7.365730791020773438e+01 -2.443754950931061103e+02 9.786059945770821855e+01 -1.557489259587283073e+02 9.786059945770745117e+01 3.755290634079981515e+01
-3.637616291706484262e+00 -1.623242456916031529e+02 9.391475663669186247e+01 -1.540566392954388277e+02 9.391475663669247353e+01 -2.095877210677926996e+02 1.118398408241467621e+02 -1.540566392954393962e+02 1.118398408241459663e+02 5.248248980205335101e+01
-3.587442273889842603e+00 -1.328673231322239587e+02 1.239669383367177318e+02 -1.530128849591930020e+02 1.239669383367182007e+02 -1.583962476023527870e+02 1.267315260652803204e+02 -1.530128849591934284e+02 1.267315260652795246e+02 7.069177379008760909e+01
-3.537268256073201833e+00 -9.878274108531911679e+01 1.604626684264820256e+02 -1.523218918589910231e+02 1.604626684264823666e+02 -9.145972699174188847e+01 1.411162412999989897e+02 -1.523218918589913642e+02 1.411162412999981939e+02 9.100270468497619447e+01
-3.487094238256560619e+00 -6.162048706046856239e+01 1.980867516258924184e+02 -1.512824824773621515e+02 1.980867516258925889e+02 -1.227320710661006586e+01 1.534258854350070465e+02 -1.512824824773623504e+02 1.534258854350063075e+02 1.116992282715301172e+02
-3.436920220439919404e+00 -2.363402852049871683e+01 2.307878791992796437e+02 -1.489208828496165040e+02 2.307878791992796721e+02 7.338810109422041705e+01 1.621750407742527500e+02 -1.489208828496166177e+02 1.621750407742520395e+02 1.308740494093349298e+02
-3.386746202623278634e+00 1.226115996400491781e+01 2.533985843687779038e+02 -1.442180087663344068e+02 2.533985843687778470e+02 1.580577917201484865e+02 1.661984257382836745e+02 -1.442180087663344068e+02 1.661984257382830492e+02 1.468430171526279082e+02
-3.336572184806636976e+00 4.293863821879001819e+01 2.627805445643116400e+02 -1.363414310014685782e+02 2.627805445643115831e+02 2.340283771366987935e+02 1.648821331462736737e+02 -1.363414310014685213e+02 1.648821331462731052e+02 1.584914630572281737e+02
-3.286398166989996206e+00 6.517008429289849403e+01 2.586039815318867454e+02 -1.248323330038802510e+02 2.586039815318865749e+02 2.944602878052078836e+02 1.582793711157265761e+02 -1.248323330038801089e+02 1.582793711157260645e+02 1.654511289612336782e+02
