# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.170866499583178566e+00 9.535973412419580200e+02 -1.200907750696836018e+01 5.619738598278917152e+01 -1.200907750696911336e+01 1.175361915623899904e+03 -5.725108568013656196e+01 5.619738598278901520e+01 -5.725108568013745725e+01 5.899722402071103033e+02
-4.118741555877329930e+00 9.505532363796305617e+02 -5.946721560099362591e+00 5.742114247884457967e+01 -5.946721560100115767e+00 1.153577934443339018e+03 -5.607239338182213828e+01 5.742114247884441625e+01 -5.607239338182296251e+01 5.957757004612627725e+02
-4.066616612171480405e+00 9.416783361822120924e+02 5.138481871496566100e+00 5.922613654339187406e+01 5.138481871495820030e+00 1.110454946568675496e+03 -5.457890618401324190e+01 5.922613654339168221e+01 -5.457890618401392402e+01 6.060145250333587228e+02
-4.014491668465631768e+00 9.221819654817433047e+02 1.929690568484896929e+01 6.054484017962946041e+01 1.929690568484822677e+01 1.047273310807261623e+03 -5.413858166157238827e+01 6.054484017962924014e+01 -5.413858166157287144e+01 6.182402379720301724e+02
-3.962366724759783132e+00 8.871869473133322117e+02 3.409969715977617000e+01 6.025265889512800754e+01 3.409969715977544524e+01 9.668441752919879946e+02 -5.607223798001831483e+01 6.025265889512775175e+01 -5.607223798001861326e+01 6.294186836418125495e+02
-3.910241781053934496e+00 8.333282317172033800e+02 4.698373515251444132e+01 5.759233740288490111e+01 4.698373515251374499e+01 8.737815135033326897e+02 -6.112111560497623941e+01 5.759233740288456005e+01 -6.112111560497636731e+01 6.365290602416220054e+02
-3.858116837348084971e+00 7.604568636170412219e+02 5.583111805548302442e+01 5.250737504174963988e+01 5.583111805548237072e+01 7.744086569894438981e+02 -6.918946190124667339e+01 5.250737504174918513e+01 -6.918946190124673024e+01 6.371139694639518893e+02
-3.805991893642236334e+00 6.721753419157472536e+02 5.922008832600990047e+01 4.577146496791756647e+01 5.922008832600931783e+01 6.759240425893839301e+02 -7.942023865148951245e+01 4.577146496791702646e+01 -7.942023865148948403e+01 6.296782323140542985e+02
-3.753866949936387698e+00 5.751373205822267209e+02 5.672890341642646206e+01 3.881816348476922940e+01 5.672890341642589362e+01 5.851309089476688996e+02 -9.057635327602540087e+01 3.881816348476858991e+01 -9.057635327602534403e+01 6.138838189270683188e+02
-3.701742006230539062e+00 4.774336684223399061e+02 4.870157172842496607e+01 3.338763491547952356e+01 4.870157172842442606e+01 5.069915007453722637e+02 -1.015407009238294762e+02 3.338763491547880591e+01 -1.015407009238294620e+02 5.905746119735910042e+02
-3.674808531262344857e+00 3.865494366485602313e+02 3.597947227966912465e+01 3.095835405868825063e+01 3.597947227966859884e+01 4.438368236875774073e+02 -1.116915865566753610e+02 3.095835405868749035e+01 -1.116915865566753610e+02 5.615841450246429076e+02
-3.622683587556496221e+00 3.077679707132000999e+02 1.961576499882700375e+01 3.227756148565318028e+01 1.961576499882646374e+01 3.949720939095856238e+02 -1.210166933993700695e+02 3.227756148565241290e+01 -1.210166933993701122e+02 5.294646323702626205e+02
-3.570558643850647584e+00 2.433129160566439850e+02 6.639633164288483158e-01 3.712080493984711893e+01 6.639633164282656708e-01 3.577938398994756426e+02 -1.299162166987330522e+02 3.712080493984639418e+01 -1.299162166987331091e+02 4.971101764134485848e+02
-3.518433700144798504e+00 1.926469403066834332e+02 -1.980289205280878662e+01 4.433782677979664300e+01 -1.980289205280943321e+01 3.286137802895456161e+02 -1.388559974532264221e+02 4.433782677979599640e+01 -1.388559974532264789e+02 4.673613952147965165e+02
